Ventas 2021
14.63
116.16
24.87
73.96
60.74
4.81
38.92
49.6
68.75
107.65
150.75
28.51
23.0
50.44
67.0
111.0
57.1
428.74
76.5
57.54
10.46
338.0
63.72
94.57
188.95
62.07
49.98
23.51
117.45
32.42
10.0
10.92
991.68
20.06
110.0
39.69
30.56
279.79
39.15
13.15
99.85
199.29
78.3
249.12
52.66
42.33
92.43
71.35
11.33
81.49
2.12
5.87
60.31
32.92
76.5
72.2
176.47
49.28
117.62
25.02
75.57
180.0
14.04
33.88
21.39
40.3
36.31
21.5
24.07
16.0
14.58
65.14
150.9
33.88
126.97
229.25
33.88
33.88
30.3
73.83
103.0
38.86
64.36
269.95
26.22
80.91
13.43
37.7
13.31
84.1
20.01
8.53
32.07
499.0
112.01
32.86
20.01
6.82
7.46
17.17
33.77
26.76
60.0
24.19
363.63
53.14
60.0
95.88
3.97
21.37
16.0
10.05
24.19
164.2
363.63
33.19
28.63
107.65
39.75
19.05
23.0
24.07
61.13
14.93
45.22
36.31
60.68
80.6
60.0
33.88
52.13
316.08
14.7
56.62
15.73
12.1
38.29
183.82
32.57
78.0
60.0
53.73
100.42
40.07
78.0
32.28
7.06
59.48
5.73
83.75
108.62
51.85
124.06
77.53
19.8
32.46
20.2
112.01
10.5
60.45
19.37
36.0
20.01
52.0
34.07
4.81
23.46
15.05
19.27
27.54
20.28
19.27
132.31
94.19
26.33
42.33
5.34
3.22
52.0
835.98
12.03
203.52
291.99
20.07
39.15
101.57
21.34
140.34
27.54
103.13
71.18
55.85
38.0
184.63
20.01
41.67
10.92
19.35
94.33
40.19
190.12
12.1
44.1
52.23
42.77
154.83
40.1
20.01
68.52
40.1
39.9
28.63
8.5
55.82
181.98
61.41
116.41
94.56
20.88
18.0
393.47
13.58
63.25
78.3
24.19
25.0
484.91
60.21
10.21
23.37
28.63
9.44
24.19
52.0
25.39
216.92
13.9
24.19
20.01
33.88
17.08
64.22
29.37
47.99
375.27
26.84
16.29
53.45
47.99
122.41
147.01
25.55
33.88
283.17
477.55
78.0
13.92
110.0
73.54
70.0
68.81
78.3
6.01
2.13
123.37
28.63
75.71
101.09
47.99
97.5
18.56
49.84
17.73
4.18
70.83
110.48
37.25
78.3
27.0
118.87
5.38
6.48
235.04
37.7
17.72
26.67
138.15
36.7
21.44
20.2
32.48
24.19
8.36
126.04
110.0
169.86
73.5
380.9
9.34
4.81
85.49
75.4
121.36
228.09
39.69
123.36
20.1
8.56
65.49
3.32
60.0
74.32
142.78
25.64
75.4
3.04
33.88
161.82
29.07
173.58
39.15
103.6
572.45
88.79
215.32
98.22
32.82
26.73
